Capture	-198	358	-198	358	1
SquareY	-28.9	113	-28.9	113	1
KingRelAX	-56	113	-56	113	1
FromEffect	59.1	159	27.5	113	0.466
PatternU	0.672	95.2	0.672	95.2	1
KingRelAY	-31.2	94.7	-31.2	94.7	1
PatternD	-15.8	77.7	-15.8	77.7	1
TakeBack	384	73.5	15.1	76	0.0393
PtypeAttacked	-4.41	110	-2.05	74.9	0.466
Check	388	15.8	13.4	70.9	0.0345
PatLong0	-32.6	105	-11.1	63.4	0.341
PatternL	-6.33	56.6	-6.33	56.6	1
PatternDR	-5.85	55.2	-5.85	55.2	1
PatternR	-1.42	54.8	-1.42	54.8	1
KingRelDX	-34	54.5	-34	54.5	1
PatternUR	0.363	54.3	0.363	54.3	1
PatternUL	-0.506	53.3	-0.506	53.3	1
SquareX		-9.37	53.2	-9.37	53.2	1
PatternDL	-3.85	48.2	-3.85	48.2	1
KingRelDY	-14.9	43.5	-14.9	43.5	1
PatternUUR	-3.69	42.9	-3.69	42.9	1
AttackKing8	18.5	137	1.75	42.3	0.0942
PatternUUL	-6.16	41.6	-6.16	41.6	1
PatLong3	1.56	79.8	0.417	41.3	0.267
PatLong2	-9.33	73.8	-2.5	38.4	0.267
ImmediateAddSupport	130	0	12.3	38.1	0.0949
PatternUU	-6.03	37.7	-6.03	37.7	1
Open	-0.893	55.2	-0.417	37.7	0.466
PatternBlockHI	45.2	101	5.01	36.5	0.111
DefenseKing8	28.3	65.1	7.71	36.2	0.273
PatLong1	2.42	64.3	0.647	33.3	0.267
PatternRR	-2.77	33	-2.77	33	1
Chase	106	99.9	5.61	33	0.0528
ToSupported	71	0	49.2	32.7	0.693
Block	29.9	31.5	29.9	31.5	1
PatternLL	-3.87	30.9	-3.87	30.9	1
PatternBlockKA	49.3	90.4	3.47	27.1	0.0702
PatternURR	-0.807	24.7	-0.807	24.7	1
PatLong20	-1.96	42	-0.668	24.5	0.341
PatLong21	-18.1	43	-4.83	23.6	0.267
PatternULL	-1.55	22.7	-1.55	22.7	1
PatternBlockKY	-17.4	119	-0.553	21.3	0.0317
BigramA=X	57.3	54.5	3.03	17.9	0.0528
BigramA!X	23.3	67.6	1.43	17.7	0.0614
PatLong23	-2.12	33.2	-0.567	17.2	0.267
PatLong22	-7.41	30.8	-1.98	16.3	0.267
BigramA=Y	46.6	48.3	2.46	15.2	0.0528
BigramA!Y	5.77	58.2	0.355	14.5	0.0614
Karanari	-190	48.5	-0.986	14.1	0.0052
Threatmate	179	0	0.891	12.6	0.00498
Cont.Capture	83	0	1.33	10.4	0.016
BadLance	-70.3	57.7	-0.757	9.41	0.0108
ImmediateEscape	50	0	1.73	9.15	0.0347
DropCaptured	30.8	10.7	2.45	8.87	0.0796
SendOff	234	10.9	0.293	8.28	0.00125
PawnAttack	97	0	0.553	7.3	0.0057
RookDefense	101	0	0.45	6.73	0.00446
ShadowEffect	95.3	5.77	0.396	6.14	0.00416
CheckmateCap	93	0	0.337	5.59	0.00362
KingEscape	1.66	15.9	0.16	4.96	0.0959
PinAttack	45.1	52.8	0.144	3.92	0.00319
EscapePin	11	0	0.0239	0.512	0.00217
